module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,25M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877222,1633,2,25720908,7335570,4096,99%,0,0,0,0,21.04,1446.74,6582,24:31.79
velvet,LS002,25M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877214,2997,2,25721188,7335584,4096,99%,0,0,0,0,20.67,1451.22,6645,24:36.37
velvet,LS002,25M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512305,12877222,1493,2,25720256,7336584,4096,99%,0,0,0,0,18.57,1314.85,6491,22:19.07
velvet,LS002,25M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35542593,12877222,1521,2,25720076,7336070,4096,99%,0,0,0,0,18.84,1314.92,6487,22:20.17
velvet,LS002,25M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35555129,12877214,2706,2,25720828,7336592,4096,99%,0,0,0,0,20.22,1439.22,6571,24:23.03
velvet,LS002,25M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877214,1636,2,25721184,7335585,4096,99%,0,0,0,0,20.32,1456.44,6624,24:40.57
velvet,LS002,25M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35538745,12877214,2998,2,25721012,7336607,4096,99%,0,0,0,0,20.41,1442.28,6652,24:26.93
velvet,LS002,25M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877222,4206,2,25721052,7336611,4096,99%,0,0,0,0,20.00,1447.65,6590,24:31.05
velvet,LS002,25M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877222,2022,2,25721020,7336621,4096,99%,0,0,0,0,19.90,1449.76,6594,24:33.32
velvet,LS002,25M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35512121,12877222,1955,2,25719944,7336586,4096,99%,0,0,0,0,18.51,1314.05,6442,22:15.69
velvet,LS002,30M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42659940,15549850,2551,2,28894792,8321403,4096,99%,0,0,0,0,22.92,1757.24,8050,29:44.95
velvet,LS002,30M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42623404,15549850,2203,2,28894920,8321919,4096,99%,0,0,0,0,23.54,1778.72,7911,30:08.62
velvet,LS002,30M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549850,4107,2,28893840,8321375,4096,99%,0,0,0,0,21.32,1605.94,7885,27:15.79
velvet,LS002,30M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42646116,15549842,2011,2,28893508,8322394,4096,99%,0,0,0,0,21.60,1612.45,7508,27:21.94
velvet,LS002,30M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42615724,15549842,3527,2,28894724,8321929,4096,99%,0,0,0,0,23.58,1775.85,7970,30:05.74
