module,binary,sample,seqlen,inputsize,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,velveth,LS002,35M,4.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49108636,18004296,12222,2,31651264,9187369,4096,99%,0,0,0,0,26.76,2064.00,8452,34:57.93
velvet,velveth,LS002,35M,4.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49142356,18004296,2894,2,31651392,9186347,4096,99%,0,0,0,0,26.96,2087.97,8703,35:22.16
velvet,velveth,LS002,35M,4.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49139612,18004296,2354,2,31651204,9187860,4096,99%,0,0,0,0,26.94,2060.83,7676,34:52.72
velvet,velveth,LS002,35M,4.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49140892,18004304,2458,2,31651144,9187368,4096,99%,0,0,0,0,26.74,2050.22,9283,34:44.09
velvet,velveth,LS002,40M,4.6G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56303616,20725588,5007,2,34541700,10106511,4096,99%,0,0,0,0,28.26,2221.30,10063,37:37.55
velvet,velveth,LS002,40M,4.6G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56308480,20725588,2697,2,34546788,10106125,4096,99%,0,0,0,0,30.05,2397.77,10659,40:38.60
velvet,velveth,LS002,40M,4.6G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56339720,20725588,3537,2,34546620,10106637,4096,99%,0,0,0,0,30.08,2431.84,8759,41:11.48
velvet,velveth,LS002,40M,4.6G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56362680,20725588,4098,2,34546428,10106621,4096,99%,0,0,0,0,29.27,2388.07,9873,40:24.15
velvet,velveth,LS002,40M,4.6G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56308664,20725588,8429,2,34557568,10106849,4096,99%,0,0,0,0,63.69,4310.93,11332,1:13:11
velvet,velveth,LS002,40M,4.6G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56318392,20725588,6294,2,34546352,10106630,4096,99%,0,0,0,0,29.74,2396.05,10651,40:34.60
velvet,velveth,LS002,40M,4.6G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56312760,20725580,2626,2,34546396,10106621,4096,99%,0,0,0,0,29.77,2367.77,8429,40:05.98
velvet,velveth,LS002,40M,4.6G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,56327608,20725588,3351,2,34546844,10105128,4096,99%,0,0,0,0,29.91,2412.96,8945,40:52.21
velvet,velveth,LS002,5M,0.544G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666266,2244982,322,2,8758396,2091873,4096,99%,0,0,0,0,4.86,197.31,1168,3:22.31
velvet,velveth,LS002,5M,0.544G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244990,334,2,8758396,2091881,4096,99%,0,0,0,0,5.04,197.54,1209,3:22.82
velvet,velveth,LS002,5M,0.544G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244990,334,2,8758392,2092386,4096,99%,0,0,0,0,5.16,198.35,1215,3:23.78
velvet,velveth,LS002,5M,0.544G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244990,339,2,8758392,2091874,4096,99%,0,0,0,0,4.91,197.96,1200,3:23.06
velvet,velveth,LS002,5M,0.544G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244982,238,2,8758396,2092382,4096,99%,0,0,0,0,4.90,199.07,1191,3:24.13
velvet,velveth,LS002,5M,0.544G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244982,223,2,8758392,2092382,4096,99%,0,0,0,0,4.99,198.20,1206,3:23.42
velvet,velveth,LS002,5M,0.544G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666218,2244990,324,2,8758392,2091868,4096,99%,0,0,0,0,5.02,198.25,1163,3:23.51
velvet,velveth,LS002,5M,0.544G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,6666250,2244990,226,2,8758392,2091876,4096,99%,0,0,0,0,5.05,196.83,1187,3:22.05
