module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,25M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,2072,3,12577944,1616352,4096,100%,0,0,0,0,10.22,1859.92,2520,31:09.52
velvet,LS002,25M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,2077,3,12577948,1615354,4096,100%,0,0,0,0,10.05,1871.88,2521,31:21.36
velvet,LS002,25M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,2150,3,12577952,1615835,4096,100%,0,0,0,0,10.42,1869.33,2514,31:19.12
velvet,LS002,25M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280943,4900851,2428,3,12577948,1615304,4096,100%,0,0,0,0,9.95,1859.13,2485,31:08.42
velvet,LS002,25M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900843,2078,3,12577944,1616383,4096,100%,0,0,0,0,9.66,1864.07,2550,31:13.24
velvet,LS002,25M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,45280175,4900851,1902,3,12577944,1615843,4096,100%,0,0,0,0,8.79,1719.38,2522,28:47.66
velvet,LS002,30M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887074,2908,3,14687160,1936163,4096,100%,0,0,0,0,12.06,2258.31,3023,37:49.94
velvet,LS002,30M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887074,2986,3,14687160,1936660,4096,100%,0,0,0,0,12.19,2262.67,2998,37:54.51
velvet,LS002,30M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887074,2265,3,14687160,1935125,4096,99%,0,0,0,0,10.64,2072.43,3022,34:47.73
velvet,LS002,30M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54447161,5887074,2286,3,14687160,1934541,4096,99%,0,0,0,0,11.19,2075.99,3012,34:52.03
velvet,LS002,30M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,54446393,5887074,2640,3,14687164,1934505,4096,100%,0,0,0,0,12.34,2252.95,2994,37:44.81
