module,sample,seqlen,ppn,mem,trial,split,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
frhit,LS002,10M,2,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27868,2327,13,49899796,12408475,4096,129%,0,0,0,0,32.27,1545.96,114683,20:19.18
frhit,LS002,10M,5,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371600,27877,2736,13,50337408,12509732,4096,141%,0,0,0,0,32.29,1599.94,337930,19:11.16
frhit,LS002,10M,5,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27877,2394,13,50335172,12508799,4096,142%,0,0,0,0,32.44,1583.90,337826,18:54.92
frhit,LS002,10M,8,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27868,2371,13,50774396,12612053,4096,145%,0,0,0,0,32.49,1588.87,519687,18:32.52
frhit,LS002,10M,8,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33381584,27876,2444,13,50766780,12624082,4096,142%,0,0,0,0,36.81,1684.57,519802,20:09.56
frhit,LS002,15M,11,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33385757,41399,3818,13,51193616,12732589,4096,169%,0,0,0,0,37.48,1877.45,701494,18:48.58
frhit,LS002,15M,2,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33373212,41391,2975,13,49903676,12408422,4096,140%,0,0,0,0,31.09,1815.51,114993,21:55.54
frhit,LS002,15M,2,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33373212,41391,3247,13,49903272,12409108,4096,139%,0,0,0,0,35.03,1884.54,112608,22:59.67
frhit,LS002,15M,5,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33373213,41398,3726,13,50340180,12510943,4096,157%,0,0,0,0,34.95,1965.22,337693,21:11.96
frhit,LS002,15M,5,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33380637,41390,5142,13,50332560,12521361,4096,160%,0,0,0,0,33.55,1861.78,338034,19:39.14
frhit,LS002,15M,8,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33383204,41391,3110,13,50786424,12614450,4096,162%,0,0,0,0,35.82,1965.83,519853,20:31.16
frhit,LS002,15M,8,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33373212,41398,6832,13,50774464,12612766,4096,175%,0,0,0,0,78.21,4156.05,520362,40:15.38
frhit,LS002,20M,11,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374822,56348,5622,13,51207676,12739963,4096,190%,0,0,0,0,35.98,2145.46,701474,19:06.54
frhit,LS002,20M,11,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374821,56348,6004,13,51211424,12716307,4096,189%,0,0,0,0,33.60,2150.74,701462,19:10.36
frhit,LS002,20M,2,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374822,56340,3713,13,49902320,12410697,4096,147%,0,0,0,0,33.81,2179.35,119722,24:57.16
frhit,LS002,20M,2,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374822,56349,3575,13,49904760,12410072,4096,150%,0,0,0,0,32.66,2078.28,119851,23:20.20
frhit,LS002,20M,5,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33374821,56339,3740,13,50334960,12521383,4096,171%,0,0,0,0,36.35,2277.75,337928,22:31.38
