ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,ajorFaults,axRSS,inorFaults,PageSize,PercentCPU,SignalsDeliv,SocketsgRecv,SocketsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime,SampleName
20,120G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem120G/trial2/dup -u 50",0,12544,36702800,3100,7,104978732,25523730,4096,99%,0,0,0,0,167.01,1065.60,381,20:36.03,LS002
20,120G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem120G/trial3/dup -u 50",0,12544,36702888,2979,7,104983792,23838757,4096,98%,0,0,0,0,373.98,1021.56,448,23:37.07,LS002
20,120G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem120G/trial4/dup -u 50",0,14176,36702808,2247,8,104982136,24033060,4096,98%,0,0,0,0,474.72,1022.88,499,25:25.84,LS002
20,120G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn20/mem120G/trial5/dup -u 50",0,12544,36702824,4696,7,104979840,23831081,4096,98%,0,0,0,0,635.37,1878.17,840,42:44.51,LS002
24,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial1/dup -u 50",0,14176,36702800,2802,8,104983892,23359738,4096,99%,0,0,0,0,109.53,970.51,305,18:00.14,LS002
24,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial1/dup -u 50",0,14176,36702800,1900,8,104983792,23360296,4096,99%,0,0,0,0,100.07,1056.63,363,19:16.85,LS002
24,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial2/dup -u 50",0,12544,36702936,3376,7,104983780,26308779,4096,98%,0,0,0,0,1047.63,917.05,668,33:19.01,LS002
24,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial2/dup -u 50",0,14176,36702800,2873,8,104983884,23363302,4096,99%,0,0,0,0,109.76,993.46,381,18:23.47,LS002
24,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial3/dup -u 50",0,14176,36702792,1665,8,104980064,23365239,4096,100%,0,0,0,0,97.87,1056.55,338,19:13.69,LS002
24,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn24/mem110G/trial3/dup -u 50",0,14176,36702800,1894,8,104979848,23365351,4096,99%,0,0,0,0,102.66,1062.42,424,19:25.23,LS002
